crime_rate,residential_land,nitric_oxides,avg_room,weighted_distances,property_tax,pupil_teacher,corporate_proportion,lower_status,homes_under_1000,radial_highwaysfar,radial_highwaysfarthest
1.41385,0,0.871,6.129,1.7494,403,14.7,321.02,15.12,17,1,0
9.59571,0,0.693,6.404,1.639,666,20.2,376.11,20.31,12.1,0,1
4.54192,0,0.77,6.398,2.5182,666,20.2,374.56,7.79,25,0,1
7.99248,0,0.7,5.52,1.5331,666,20.2,396.9,24.56,12.3,0,1
0.06076,0,0.573,6.976,2.1675,273,21,396.9,5.64,23.9,0,0
0.38214,0,0.504,8.04,3.2157,307,17.4,387.38,3.13,37.6,0,1
5.20177,0,0.77,6.127,2.7227,666,20.2,395.43,11.48,22.7,0,1
25.02166,0,0.693,5.683,1.4254,666,20.2,384.97,22.98,5,0,1
0.12204,0,0.445,6.625,3.4952,276,18,357.98,6.65,28.4,0,0
0.2909,0,0.624,6.174,1.6119,437,21.2,388.08,24.16,14,1,0
1.6566,0,0.871,6.122,1.618,403,14.7,372.8,14.1,21.5,1,0
0.04684,0,0.489,6.417,3.0923,270,17.8,392.18,8.81,22.6,0,0
0.13117,0,0.52,6.127,2.1224,384,20.9,387.69,14.09,20.4,1,0
0.09849,0,0.581,5.879,2.0063,188,19.1,379.38,17.58,18.8,0,0
0.57834,20,0.575,8.297,2.4216,264,13,384.54,7.44,50,1,0
0.14231,0,0.547,6.254,2.2565,432,17.8,388.74,10.45,18.5,1,0
0.01311,45,0.403,7.249,8.6966,226,17.9,395.93,4.81,35.4,1,0
0.21161,0,0.52,6.137,2.7147,384,20.9,394.47,13.44,19.3,1,0
3.56868,0,0.58,6.437,2.8965,666,20.2,393.37,14.36,23.2,0,1
0.04294,28,0.464,6.249,3.615,270,18.2,396.9,10.59,20.6,1,0
0.22969,0,0.489,6.326,4.3549,277,18.6,394.87,10.97,24.4,1,0
0.03871,45,0.405,6.209,7.3172,293,16.6,396.9,7.14,23.2,1,0
12.2472,0,0.584,5.837,1.9976,666,20.2,229.606,15.69,10.2,0,1
0.05561,45,0.4,7.041,7.8278,358,14.8,371.58,4.74,29,1,0
0.11132,0,0.609,5.983,2.1099,711,20.1,396.9,13.35,20.1,1,0
1.22358,0,0.605,6.943,1.8773,403,14.7,363.43,4.59,41.3,1,0
0.01778,45,0.403,7.135,7.6534,402,17,384.3,4.45,32.9,0,0
0.01381,45,0.422,7.875,5.6484,255,14.4,394.23,2.97,50,1,0
8.24809,0,0.713,7.393,2.4527,666,20.2,375.87,16.74,17.8,0,1
0.1,34,0.433,6.982,5.4917,329,16.1,390.43,4.86,33.1,0,1
0.0578,0,0.488,6.98,2.829,193,17.8,396.9,5.04,37.2,0,0
3.32105,0,0.871,5.403,1.3216,403,14.7,396.9,26.82,13.4,1,0
0.16439,22,0.431,6.433,7.8265,330,19.1,374.71,9.52,24.5,0,1
4.34879,0,0.58,6.167,3.0334,666,20.2,396.9,16.29,19.9,0,1
0.01096,45,0.389,6.453,7.3073,300,15.3,394.72,8.23,22,0,0
0.09065,20,0.464,5.92,3.9175,223,18.6,391.34,13.65,20.7,0,0
4.89822,0,0.631,4.97,1.3325,666,20.2,375.52,3.26,50,0,1
0.03466,35,0.4379,6.031,6.6407,304,16.9,362.25,7.83,19.4,0,0
8.98296,0,0.77,6.212,2.1222,666,20.2,377.73,17.6,17.8,0,1
0.02763,45,0.428,6.595,5.4011,252,18.3,395.63,4.32,30.8,0,0
13.6781,0,0.74,5.935,1.8206,666,20.2,229.606,34.02,8.4,0,1
0.04819,45,0.392,6.108,9.2203,315,16.4,392.89,6.57,21.9,0,0
8.15174,0,0.7,5.39,1.7281,666,20.2,396.9,20.85,11.5,0,1
18.0846,0,0.679,6.434,1.8347,666,20.2,229.606,29.05,7.2,0,1
0.62739,0,0.538,5.834,4.4986,307,21,395.62,8.47,19.9,1,0
0.12757,30,0.428,6.393,7.0355,300,16.6,374.71,5.19,23.7,1,0
0.04932,33,0.472,6.849,3.1827,222,18.4,396.9,7.53,28.2,0,1
0.1396,0,0.52,6.167,2.421,384,20.9,392.69,12.33,20.1,1,0
0.16902,0,0.581,5.986,1.9929,188,19.1,385.02,14.81,21.4,0,0
0.05479,33,0.472,6.616,3.37,222,18.4,393.36,8.93,28.4,0,1
9.82349,0,0.671,6.794,1.358,666,20.2,396.9,21.24,13.3,0,1
0.07151,0,0.449,6.121,3.7476,247,18.5,395.15,8.44,22.2,0,0
2.33099,0,0.871,5.186,1.5296,403,14.7,356.99,28.32,17.8,1,0
0.06047,0,0.488,6.153,3.2797,193,17.8,387.11,13.15,29.6,0,0
11.1081,0,0.668,4.906,1.1742,666,20.2,396.9,34.77,13.8,0,1
1.27346,0,0.605,6.25,1.7984,403,14.7,338.92,5.5,27,1,0
0.21719,0,0.489,5.807,3.6526,277,18.6,390.94,16.03,22.4,1,0
0.04337,21,0.439,6.115,6.8147,243,16.8,393.97,9.43,20.5,1,0
0.09378,12.5,0.524,5.889,5.4509,311,15.2,390.5,15.71,21.7,1,0
0.3692,0,0.544,6.567,3.6023,304,18.4,395.69,9.28,23.8,1,0
4.87141,0,0.614,6.484,2.3053,666,20.2,396.21,18.68,16.7,0,1
22.0511,0,0.74,5.818,1.8662,666,20.2,391.45,22.11,10.5,0,1
1.05393,0,0.538,5.935,4.4986,307,21,386.85,6.58,23.1,1,0
2.37934,0,0.871,6.13,1.4191,403,14.7,229.606,27.8,13.8,1,0
0.44178,0,0.504,6.552,3.3751,307,17.4,380.34,3.76,31.5,0,1
0.05644,40,0.447,6.758,4.0776,254,17.6,396.9,3.53,32.4,1,0
14.3337,0,0.7,4.88,1.5895,666,20.2,372.92,30.62,10.2,0,1
0.03578,20,0.4429,7.82,4.6947,216,14.9,387.31,3.76,45.4,1,0
0.06905,0,0.458,7.147,6.0622,222,18.7,396.9,5.33,36.2,0,0
14.4383,0,0.597,6.852,1.4655,666,20.2,229.606,19.78,27.5,0,1
0.05023,35,0.4379,5.706,6.6407,304,16.9,394.02,12.43,17.1,0,0
0.40202,0,0.544,6.382,3.5325,304,18.4,395.21,10.36,23.1,1,0
1.35472,0,0.538,6.072,4.175,307,21,376.73,13.04,14.5,1,0
0.02875,28,0.464,6.211,3.6659,270,18.2,396.33,6.21,25,1,0
23.6482,0,0.671,6.38,1.3861,666,20.2,396.9,23.69,13.1,0,1
0.63796,0,0.538,6.096,4.4619,307,21,380.02,10.26,18.2,1,0
3.8497,0,0.77,6.395,2.5052,666,20.2,391.34,13.27,21.7,0,1
0.06129,20,0.4429,7.645,5.2119,216,14.9,377.07,3.01,46,1,0
0.08707,0,0.437,6.14,4.0905,398,18.7,386.96,10.27,20.8,1,0
0.19186,0,0.493,6.431,5.4159,287,19.6,393.68,5.08,24.6,1,0
2.14918,0,0.871,5.709,1.6232,403,14.7,261.95,15.79,19.4,1,0
1.49632,0,0.871,5.404,1.5916,403,14.7,341.6,13.28,19.6,1,0
0.06888,0,0.488,6.144,2.5979,193,17.8,396.9,9.45,36.2,0,0
0.6147,0,0.507,6.618,3.2721,307,17.4,396.9,7.6,30.1,0,1
0.97617,0,0.624,5.757,2.346,437,21.2,262.76,17.31,15.6,1,0
0.22489,12.5,0.524,6.377,6.3467,311,15.2,392.52,20.45,15,1,0
5.29305,0,0.7,6.051,2.1678,666,20.2,378.38,18.76,23.2,0,1
3.67822,0,0.77,5.362,2.1036,666,20.2,380.79,10.19,20.8,0,1
0.13587,0,0.489,6.064,4.2392,277,18.6,381.32,14.66,24.4,1,0
0.17505,0,0.499,5.966,3.8473,279,19.2,393.43,10.13,24.7,1,0
0.05302,0,0.489,7.079,3.4145,270,17.8,396.06,5.7,28.7,0,0
0.35114,0,0.493,6.041,4.7211,287,19.6,396.9,7.7,20.4,1,0
0.10469,40,0.447,7.267,4.7872,254,17.6,389.25,6.05,33.2,1,0
18.811,0,0.597,4.628,1.5539,666,20.2,229.606,34.37,17.9,0,1
0.19802,0,0.489,6.182,3.9454,277,18.6,393.63,9.47,25,1,0
0.08829,12.5,0.524,6.012,5.5605,311,15.2,395.6,12.43,22.9,1,0
0.15086,0,0.609,5.454,1.8209,711,20.1,395.09,18.06,15.2,1,0
7.02259,0,0.718,6.006,1.8746,666,20.2,319.98,15.7,14.2,0,1
1.20742,0,0.605,5.875,2.4259,403,14.7,292.29,14.43,17.4,1,0
0.46296,0,0.504,7.412,3.6715,307,17.4,376.14,5.25,31.7,0,1
0.33983,22,0.431,6.108,8.0555,330,19.1,390.18,9.16,24.3,0,1
8.64476,0,0.693,6.193,1.7912,666,20.2,396.9,15.17,13.8,0,1
0.0536,21,0.439,6.511,6.8147,243,16.8,396.9,5.28,25,1,0
0.06724,0,0.46,6.333,5.2146,430,16.9,375.21,7.34,22.6,1,0
0.12269,0,0.448,6.069,5.7209,233,17.9,389.39,9.55,21.2,0,0
0.82526,20,0.647,7.327,2.0788,264,13,393.42,11.25,31,1,0
0.02498,0,0.518,6.54,6.2669,422,15.9,389.96,8.65,16.5,0,0
9.33889,0,0.679,6.38,1.9682,666,20.2,229.606,24.08,9.5,0,1
0.14455,12.5,0.524,6.172,5.9505,311,15.2,396.9,19.15,27.1,1,0
0.15876,0,0.413,5.961,5.2873,305,19.2,376.94,9.88,21.7,1,0
11.1604,0,0.74,6.629,2.1247,666,20.2,229.606,23.27,13.4,0,1
4.03841,0,0.532,6.229,3.0993,666,20.2,395.33,12.87,19.6,0,1
0.25387,0,0.448,5.399,5.87,233,17.9,396.9,30.81,14.4,0,0
0.10328,25,0.453,5.927,6.932,284,19.7,396.9,9.22,19.6,0,1
0.14052,0,0.489,6.375,3.9454,277,18.6,385.81,9.38,28.1,1,0
0.01965,45,0.385,6.23,9.0892,241,18.2,341.6,12.93,20.1,0,0
15.5757,0,0.58,5.926,2.9084,666,20.2,368.74,18.13,19.1,0,1
0.09604,40,0.447,6.854,4.2673,254,17.6,396.9,2.98,32,1,0
6.53876,0,0.631,7.016,1.2024,666,20.2,392.05,2.96,50,0,1
0.22438,0,0.585,6.027,2.4982,391,19.2,396.9,14.33,16.8,1,0
9.91655,0,0.693,5.852,1.5004,666,20.2,338.16,29.97,6.3,0,1
8.05579,0,0.584,5.427,2.4298,666,20.2,352.58,18.14,13.8,0,1
4.64689,0,0.614,6.98,2.5329,666,20.2,374.68,11.66,29.8,0,1
7.52601,0,0.713,6.417,2.185,666,20.2,304.21,19.31,13,0,1
1.13081,0,0.538,5.713,4.233,307,21,360.17,22.6,12.7,1,0
4.26131,0,0.77,6.112,2.5091,666,20.2,390.74,12.67,22.6,0,1
0.17004,12.5,0.524,6.004,6.5921,311,15.2,386.71,17.1,18.9,1,0
0.11329,30,0.428,6.897,6.3361,300,16.6,391.25,11.38,22,1,0
0.61154,20,0.647,8.704,1.801,264,13,389.7,5.12,50,1,0
0.0459,45,0.405,6.315,7.3172,293,16.6,396.9,7.6,22.3,1,0
2.15505,0,0.871,5.628,1.5166,403,14.7,229.606,16.65,15.6,1,0
0.54452,0,0.624,6.151,1.6687,437,21.2,396.9,18.46,17.8,1,0
15.8603,0,0.679,5.896,1.9096,666,20.2,229.606,24.39,8.3,0,1
25.02166,0,0.693,5.987,1.5888,666,20.2,396.9,26.77,5.6,0,1
4.42228,0,0.584,6.003,2.5403,666,20.2,331.29,21.32,19.1,0,1
15.1772,0,0.74,6.152,1.9142,666,20.2,229.606,26.45,8.7,0,1
0.31827,0,0.544,5.914,3.9986,304,18.4,390.7,18.33,17.8,1,0
0.28955,0,0.489,5.412,3.5875,277,18.6,348.93,29.55,23.7,1,0
4.75237,0,0.713,6.525,2.4358,666,20.2,229.606,18.13,14.1,0,1
0.03768,45,0.404,7.274,7.309,329,12.6,392.2,6.62,34.6,0,0
6.28807,0,0.74,6.341,2.072,666,20.2,318.01,17.79,14.9,0,1
0.33147,0,0.507,8.247,3.6519,307,17.4,378.95,3.95,48.3,0,1
5.66637,0,0.74,6.219,2.0048,666,20.2,395.69,16.59,18.4,0,1
0.11069,0,0.55,5.951,2.8893,276,16.4,396.9,17.92,21.5,1,0
0.07244,45,0.411,5.884,9.22277,411,18.3,392.33,7.79,18.6,1,0
0.10084,0,0.547,6.715,2.6775,432,17.8,395.59,10.16,22.8,1,0
9.96654,0,0.74,6.485,1.9784,666,20.2,386.73,18.85,15.4,0,1
1.61282,0,0.538,6.096,3.7598,307,21,248.31,20.34,13.5,1,0
24.3938,0,0.7,4.652,1.4672,666,20.2,396.9,28.28,10.5,0,1
0.76162,20,0.647,5.56,1.9865,264,13,392.4,10.45,22.8,1,0
0.26938,0,0.544,6.266,3.2628,304,18.4,393.39,7.9,21.6,1,0
0.35233,0,0.624,6.454,1.8498,437,21.2,394.08,14.59,17.1,1,0
0.1265,25,0.453,6.762,7.9809,284,19.7,395.58,9.5,25,0,1
0.03537,34,0.433,6.59,5.4917,329,16.1,395.75,9.5,22,0,1
10.6718,0,0.74,6.459,1.9879,666,20.2,229.606,23.98,11.8,0,1
0.04203,28,0.464,6.442,3.6659,270,18.2,395.01,8.16,22.9,1,0
0.09744,0,0.499,5.841,3.3779,279,19.2,377.56,11.41,20,1,0
8.26725,0,0.668,5.875,1.1296,666,20.2,347.88,8.88,50,0,1
0.08014,0,0.499,5.85,3.9342,279,19.2,396.9,8.77,21,1,0
0.06162,0,0.442,5.898,8.0136,352,18.8,364.61,12.67,17.2,0,0
0.22212,0,0.547,6.092,2.548,432,17.8,396.9,17.09,18.7,1,0
0.07886,45,0.411,7.148,5.1167,245,19.2,396.9,3.56,37.3,1,0
0.06127,40,0.447,6.826,4.8628,254,17.6,393.45,4.16,33.1,1,0
0.19073,22,0.431,6.718,7.8265,330,19.1,393.74,6.56,26.2,0,1
0.11504,0,0.445,6.163,3.4952,276,18,391.83,11.34,21.4,0,0
0.55007,20,0.647,7.206,1.9301,264,13,387.89,8.1,36.5,1,0
0.03306,0,0.515,6.059,4.8122,224,20.2,396.14,8.51,20.6,1,0
0.09103,0,0.488,7.155,2.7006,193,17.8,394.12,4.82,37.9,0,0
0.85204,0,0.538,5.965,4.0123,307,21,392.53,13.83,19.6,1,0
25.02166,0,0.679,5.304,1.6475,666,20.2,229.606,26.64,10.4,0,1
0.11432,0,0.52,6.781,2.8561,384,20.9,395.58,7.67,26.5,1,0
0.40771,0,0.507,6.164,3.048,307,17.4,395.24,21.46,21.7,0,1
0.01951,17.5,0.4161,7.104,9.22277,216,18.6,393.24,8.05,33,0,0
0.05735,0,0.449,6.63,4.4377,247,18.5,392.3,6.53,26.6,0,0
9.32909,0,0.713,6.185,2.2616,666,20.2,396.9,18.13,14.1,0,1
0.10008,0,0.488,6.563,2.847,193,17.8,396.9,5.68,32.5,0,0
0.66351,20,0.647,7.333,1.8946,264,13,383.29,7.79,36,1,0
9.2323,0,0.631,6.216,1.1691,666,20.2,366.15,9.53,50,0,1
1.19294,0,0.624,6.326,2.271,437,21.2,396.9,12.26,19.6,1,0
25.02166,0,0.671,6.968,1.4165,666,20.2,396.9,17.21,10.4,0,1
1.83377,0,0.605,7.802,2.0407,403,14.7,389.61,1.92,50,1,0
0.05372,0,0.437,6.549,5.9604,289,16,392.85,7.39,27.1,1,0
13.5222,0,0.631,3.863,1.5106,666,20.2,229.606,13.33,23.1,0,1
8.49213,0,0.584,6.348,2.0527,666,20.2,229.606,17.64,14.5,0,1
0.09512,0,0.437,6.286,4.5026,398,18.7,383.23,8.94,21.4,1,0
0.49298,0,0.544,6.635,3.3175,304,18.4,396.9,4.54,22.8,1,0
0.14103,0,0.437,5.79,6.32,289,16,396.9,15.84,20.3,1,0
0.7258,0,0.538,5.727,3.7965,307,21,390.95,11.28,18.2,1,0
0.22876,0,0.52,6.405,2.7147,384,20.9,229.606,10.63,18.6,1,0
5.82401,0,0.532,6.242,3.4242,666,20.2,396.9,10.74,23,0,1
1.12658,0,0.871,5.012,1.6102,403,14.7,343.28,12.12,15.3,1,0
0.02899,40,0.429,6.939,8.7921,335,19.7,389.85,5.89,26.6,0,0
3.69695,0,0.718,4.963,1.7523,666,20.2,316.03,14,21.9,0,1
2.44953,0,0.605,6.402,2.2625,403,14.7,330.04,11.32,22.3,1,0
0.12802,0,0.52,6.474,2.4329,384,20.9,395.24,12.27,19.8,1,0
0.04462,25,0.426,6.619,5.4007,281,19,395.63,7.22,23.9,1,0
0.27957,0,0.585,5.926,2.3817,391,19.2,396.9,13.59,24.5,1,0
0.12579,45,0.437,6.556,4.5667,398,15.2,382.84,4.56,29.8,1,0
0.36894,22,0.431,8.259,8.9067,330,19.1,396.9,3.54,42.8,0,1
0.79041,0,0.544,6.122,2.6403,304,18.4,396.9,5.98,22.1,1,0
0.15445,25,0.453,6.145,7.8148,284,19.7,390.68,6.86,23.3,0,1
0.0837,45,0.437,7.185,4.5667,398,15.2,396.9,5.39,34.9,1,0
4.83567,0,0.583,5.905,3.1523,666,20.2,388.22,11.45,20.6,0,1
25.02166,0,0.693,5.453,1.4896,666,20.2,396.9,30.59,5,0,1
0.19539,0,0.413,6.245,5.2873,305,19.2,377.17,7.54,23.4,1,0
15.0234,0,0.614,5.304,2.1007,666,20.2,349.48,24.91,12,0,1
2.3139,0,0.605,5.88,2.3887,403,14.7,348.13,12.03,19.1,1,0
0.06211,40,0.429,6.49,8.7921,335,19.7,396.9,5.98,22.9,0,0
6.80117,0,0.713,6.081,2.7175,666,20.2,396.9,14.7,20,0,1
25.02166,0,0.679,6.202,1.8629,666,20.2,229.606,14.52,10.9,0,1
22.5971,0,0.7,5,1.5184,666,20.2,396.9,31.99,7.4,0,1
11.0874,0,0.718,6.411,1.8589,666,20.2,318.75,15.02,16.7,0,1
0.0686,0,0.445,7.416,3.4952,276,18,396.9,6.19,33.2,0,0
0.24522,0,0.544,5.782,4.0317,304,18.4,396.9,15.94,19.8,1,0
5.87205,0,0.693,6.405,1.6768,666,20.2,396.9,19.37,12.5,0,1
0.21409,22,0.431,6.438,7.3967,330,19.1,377.07,3.59,24.8,0,1
0.08387,0,0.437,5.874,4.5026,398,18.7,396.06,9.1,20.3,1,0
1.38799,0,0.538,5.95,3.99,307,21,232.6,27.71,13.2,1,0
16.8118,0,0.7,5.277,1.4261,666,20.2,396.9,30.81,7.2,0,1
0.05083,0,0.515,6.316,6.4584,224,20.2,389.71,5.68,22.2,1,0
0.03551,25,0.426,6.167,5.4007,281,19,390.64,7.51,22.9,1,0
0.08199,0,0.437,6.009,5.5027,289,16,396.9,10.4,21.7,1,0
0.01709,45,0.41,6.728,9.22277,187,17,384.46,4.5,30.1,1,0
0.08664,45,0.437,7.178,6.4798,398,15.2,390.49,2.87,36.4,1,0
0.06466,45,0.4,6.345,7.8278,358,14.8,368.24,4.97,22.5,1,0
0.11425,0,0.55,6.373,3.3633,276,16.4,393.74,10.5,23,1,0
0.03548,45,0.392,5.876,9.2203,315,16.4,395.18,9.25,20.9,0,0
1.25179,0,0.538,5.57,3.7979,307,21,376.57,21.02,13.6,1,0
0.0456,0,0.55,5.888,3.1121,276,16.4,392.8,13.51,23.3,1,0
4.81213,0,0.713,6.701,2.5975,666,20.2,255.23,16.42,16.4,0,1
1.34284,0,0.605,6.066,1.7573,403,14.7,353.89,6.43,24.3,1,0
8.71675,0,0.693,6.471,1.7257,666,20.2,391.98,17.12,13.1,0,1
0.03113,0,0.442,6.014,8.0136,352,18.8,385.64,10.53,17.5,0,0
0.67191,0,0.538,5.813,4.682,307,21,376.88,14.81,16.6,1,0
2.44668,0,0.871,5.272,1.7364,403,14.7,229.606,16.14,13.1,1,0
2.3004,0,0.605,6.319,2.1,403,14.7,297.09,11.1,23.8,1,0
0.1676,0,0.493,6.426,4.5404,287,19.6,396.9,7.2,23.8,1,0
0.47547,0,0.544,6.113,4.0019,304,18.4,396.23,12.73,21,1,0
3.1636,0,0.655,5.759,3.0665,666,20.2,334.4,14.13,19.9,0,1
0.18159,0,0.493,6.376,4.5404,287,19.6,396.9,6.87,23.1,1,0
0.09252,30,0.428,6.606,6.1899,300,16.6,383.78,7.37,23.3,1,0
0.22927,0,0.448,6.03,5.6894,233,17.9,392.74,18.8,16.6,0,0
0.03237,0,0.458,6.998,6.0622,222,18.7,394.63,2.94,33.4,0,0
13.0751,0,0.58,5.713,2.8237,666,20.2,396.9,14.76,20.1,0,1
5.09017,0,0.713,6.297,2.3682,666,20.2,385.09,17.27,16.1,0,1
0.24103,0,0.493,6.083,5.4159,287,19.6,396.9,12.79,22.2,1,0
1.51902,0,0.605,8.375,2.162,403,14.7,388.45,3.32,50,1,0
10.233,0,0.614,6.185,2.1705,666,20.2,379.7,18.03,14.6,0,1
0.06417,0,0.499,5.933,3.3603,279,19.2,396.9,9.68,18.9,1,0
0.08826,0,0.413,6.417,5.2873,305,19.2,383.73,6.72,24.2,1,0
0.04527,0,0.573,6.12,2.2875,273,21,396.9,9.08,20.6,0,0
0.17783,0,0.585,5.569,2.3999,391,19.2,395.77,15.1,17.5,1,0
0.51183,0,0.507,7.358,4.148,307,17.4,390.07,4.73,31.5,0,1
0.17331,0,0.585,5.707,2.3817,391,19.2,396.9,12.01,21.8,1,0
0.08265,0,0.437,6.127,5.5027,289,16,396.9,8.58,23.9,1,0
0.03041,0,0.515,5.895,5.615,224,20.2,394.81,10.56,18.5,1,0
0.03738,0,0.515,6.31,6.4584,224,20.2,389.4,6.75,20.7,1,0
0.06263,0,0.573,6.593,2.4786,273,21,391.99,9.67,22.4,0,0
0.17134,0,0.547,5.928,2.4631,432,17.8,344.91,15.76,18.3,1,0
14.2362,0,0.693,6.343,1.5741,666,20.2,396.9,20.32,7.2,0,1
0.44791,0,0.507,6.726,3.6519,307,17.4,360.2,8.05,29,0,1
0.32982,0,0.624,5.822,2.4699,437,21.2,388.69,15.03,18.4,1,0
0.02187,45,0.401,6.8,6.2196,265,15.6,393.37,5.03,31.1,0,0
0.00906,45,0.4,7.088,7.3073,285,15.3,394.72,7.85,32.2,0,0
9.92485,0,0.74,6.251,2.198,666,20.2,388.52,16.44,12.6,0,1
2.37857,0,0.583,5.871,3.724,666,20.2,370.73,13.34,20.6,0,1
0.08187,0,0.445,7.82,3.4952,276,18,393.53,3.57,43.8,0,0
0.10959,0,0.573,6.794,2.3889,273,21,393.45,6.48,22,0,0
0.13058,0,0.547,5.872,2.4775,432,17.8,338.63,15.37,20.4,1,0
0.05602,0,0.488,7.831,3.1992,193,17.8,392.63,4.45,50,0,0
0.09164,0,0.413,6.065,5.2873,305,19.2,390.91,5.52,22.8,1,0
0.65665,20,0.647,6.842,2.0107,264,13,391.93,6.9,30.1,1,0
0.0566,0,0.489,7.007,3.4217,270,17.8,396.9,5.5,23.6,0,0
8.20058,0,0.713,5.936,2.7792,666,20.2,229.606,16.94,13.5,0,1
0.0351,45,0.4161,7.853,5.118,224,14.7,392.78,3.81,48.5,1,0
0.04666,45,0.404,7.107,7.309,329,12.6,354.31,8.61,30.3,0,0
6.71772,0,0.713,6.749,2.3236,666,20.2,229.606,17.44,13.4,0,1
25.02166,0,0.597,5.155,1.5894,666,20.2,229.606,20.08,16.3,0,1
6.44405,0,0.584,6.425,2.2004,666,20.2,229.606,12.03,16.1,0,1
4.0974,0,0.871,5.468,1.4118,403,14.7,396.9,26.42,15.6,1,0
0.03705,20,0.4429,6.968,5.2447,216,14.9,392.23,4.59,35.4,1,0
0.08221,22,0.431,6.957,8.9067,330,19.1,386.09,3.53,29.6,0,1
0.26169,0,0.544,6.023,2.834,304,18.4,396.3,11.72,19.4,1,0
6.65492,0,0.713,6.317,2.7344,666,20.2,396.9,13.99,19.5,0,1
0.05646,0,0.437,6.232,5.0141,398,18.7,386.4,12.34,21.2,1,0
0.06588,0,0.488,7.765,2.741,193,17.8,395.56,7.56,39.8,0,0
1.62864,0,0.624,5.019,1.4394,437,21.2,396.9,34.41,14.4,1,0
2.63548,0,0.544,4.973,2.5194,304,18.4,350.45,12.64,16.1,1,0
0.10574,0,0.609,5.983,1.8681,711,20.1,390.11,18.07,13.6,1,0
1.46336,0,0.605,7.489,1.9709,403,14.7,374.43,1.73,50,1,0
0.18836,0,0.448,5.786,5.1004,233,17.9,396.9,14.15,20,0,0
0.01301,35,0.442,7.241,7.0379,284,15.5,394.74,5.49,32.7,0,0
0.12816,12.5,0.409,5.885,6.498,345,18.9,396.9,8.79,20.9,1,0
