                           car_ID     symboling    fueltype   aspiration   doornumber enginelocation
cylindernumbertwo    -0.108463919  0.2459498451 -0.04638324  0.066203079 -0.159462891    0.017191624
cylindernumbereight  -0.048627654 -0.0043460995 -0.05198752  0.074202105 -0.051287764    0.019268812
fuelsystem2bbl       -0.085037327 -0.0340685204 -0.22656546  0.323378237  0.020524872    0.083974903
fuelsystem4bbl       -0.094729382  0.2124709350 -0.04006951  0.057191457 -0.137756661    0.014851485
fuelsystemidi         0.125568152 -0.1943109388  1.00000000 -0.401397228  0.191490535    0.040069514
fuelsystemmpfi        0.174065281  0.0295776862 -0.30555866  0.029157764  0.013942469   -0.131135260
fuelsystemspdi       -0.037015231  0.1819387313 -0.07045671 -0.394703334 -0.146271782    0.026114286
fuelsystemspfi       -0.066254422  0.0657074228 -0.02302046  0.032857244 -0.079143013    0.008532374
fuelsystem1bbl       -0.269595233 -0.0379113516 -0.07829330  0.111748499 -0.094687495    0.029018865
CarNameaudi          -0.305020892  0.0683478735 -0.06182236 -0.051444604  0.058085922    0.022914024
CarNamebmw           -0.301367961 -0.0744815123 -0.06625841  0.094571026  0.025998065    0.024558216
CarNamebuick         -0.107266563 -0.1353130263  0.27331594 -0.167416276  0.025998065    0.024558216
CarNamechevrolet     -0.170924754  0.0162702968 -0.04006951  0.057191457 -0.055901254    0.014851485
CarNamedodge         -0.278821252  0.0286090708 -0.07045671 -0.085161699 -0.050317493    0.026114286
CarNamehonda         -0.290206360 -0.0458224051 -0.08555595  0.122114513 -0.092470966    0.031710713
CarNameisuzu         -0.137069788 -0.0095554838 -0.04638324  0.066203079 -0.017332923    0.017191624
CarNamejaguar        -0.111204057 -0.0818300223 -0.04006951  0.057191457  0.025954154    0.014851485
CarNamemaxda         -0.086380584  0.0132518805 -0.03263594  0.046581471 -0.112200462    0.012096283
CarNamemazda         -0.204164023  0.0676701305  0.03387423  0.131860601 -0.015650432    0.034241578
CarNamemercury       -0.031944097  0.0093474995 -0.02302046 -0.149189650 -0.079143013    0.008532374
CarNamemitsubishi    -0.087941321  0.2119777472 -0.08555595 -0.190153369 -0.132804046    0.031710713
CarNamenissan        -0.023592279  0.0414215153 -0.04392116  0.100783252 -0.038120210    0.037809453
CarNamepeugeot        0.040238095 -0.1598907002  0.28648231 -0.225968095  0.210653079    0.029018865
CarNameplymouth       0.060368718  0.0251030770 -0.06182236 -0.051444604  0.003960404    0.022914024
CarNameporsche        0.066796229  0.2247554291 -0.05198752  0.074202105 -0.178730088   -0.770752493
CarNamerenault        0.047802848  0.0132518805 -0.03263594  0.046581471 -0.012195702    0.012096283
CarNamesaab           0.095361786  0.2328474099 -0.05709239 -0.069008118 -0.021334817    0.021160895
CarNamesubaru         0.174864638 -0.0670709035 -0.08198627  0.008960952  0.094975918    0.030387636
CarNametoyota         0.461495629 -0.0940462050 -0.00552384  0.166889552  0.001321088    0.052412742
CarNamevolkswagen     0.325652325  0.1031507286  0.23082005 -0.011489131  0.109070825    0.027597366
CarNamevolvo          0.390309517 -0.4038493975 -0.00533818 -0.169681996  0.210653079    0.029018865
CarNamevw             0.146763129  0.1730539694 -0.03263594  0.046581471 -0.112200462    0.012096283
CarNamealpha         -0.207992773  0.1470707223 -0.04006951  0.057191457 -0.137756661    0.014851485
                        wheelbase    carlength     carwidth     carheight   curbweight   enginesize
car_ID                0.129728783  0.170636393  0.052386605  0.2559600415  0.071961564 -0.033929840
symboling            -0.531953682 -0.357611523 -0.232919061 -0.5410381998 -0.227690588 -0.105789709
fueltype              0.308345862  0.212678822  0.233879813  0.2846310584  0.217275322  0.069594286
aspiration           -0.257610864 -0.234539033 -0.300567369 -0.0873110934 -0.324901882 -0.108217404
doornumber            0.447356740  0.398567804  0.207168219  0.5522079480  0.197379420  0.020741830
enginelocation        0.187790244  0.050988541  0.051697642  0.1062342488 -0.050468195 -0.196826304
wheelbase             1.000000000  0.874587476  0.795143644  0.5894347617  0.776386328  0.569328682
carlength             0.874587476  1.000000000  0.841118268  0.4910294575  0.877728461  0.683359873
carwidth              0.795143644  0.841118268  1.000000000  0.2792103211  0.867032465  0.735433405
carheight             0.589434762  0.491029458  0.279210321  1.0000000000  0.295571726  0.067148742
curbweight            0.776386328  0.877728461  0.867032465  0.2955717262  1.000000000  0.850594073
enginesize            0.569328682  0.683359873  0.735433405  0.0671487418  0.850594073  1.000000000
boreratio             0.488749875  0.606454358  0.559149909  0.1710709215  0.648479749  0.583774327
stroke                0.160959047  0.129532611  0.182941693 -0.0553066737  0.168790035  0.203128588
compressionratio      0.249785845  0.158413706  0.181128627  0.2612142263  0.151361740  0.028971360
horsepower            0.353294478  0.552622967  0.640732076 -0.1088020590  0.750739251  0.809768655
peakrpm              -0.360468748 -0.287242203 -0.220012303 -0.3204107238 -0.266243184 -0.244659825
citympg              -0.470413613 -0.670908662 -0.642704341 -0.0486396287 -0.757413785 -0.653657916
highwaympg           -0.544081923 -0.704661604 -0.677217917 -0.1073576270 -0.797464792 -0.677469908
price                 0.577815598  0.682920016  0.759325300  0.1193362266  0.835304879  0.874144803
carbodyhardtop       -0.008607579  0.047291821  0.066360007 -0.0723277573  0.098956326  0.239363362
carbodyhatchback     -0.386093732 -0.436268753 -0.222307828 -0.4774759332 -0.287501476 -0.216805018
carbodysedan          0.291085508  0.269646615  0.154636665  0.2358633814  0.099425105  0.088459336
carbodywagon          0.210899313  0.219683396  0.060638676  0.4591476003  0.164074693 -0.027517911
carbodyconvertible   -0.175070996 -0.051722078 -0.026328067 -0.1632386603  0.082272163  0.126482870
drivewheelfwd        -0.460355093 -0.508713892 -0.472116424 -0.1002732476 -0.666039449 -0.518391485
drivewheelrwd         0.498829873  0.538370342  0.511148945  0.0398138583  0.669987239  0.565508701
drivewheel4wd        -0.069003084 -0.045934185 -0.069763526  0.1472601530  0.022090473 -0.086641796
enginetypedohcv      -0.004156097  0.009390820  0.209135721 -0.0926283251  0.109242952  0.128248073
enginetypel           0.399603095  0.261715321  0.210770891  0.3196866765  0.250123814  0.016062892
enginetypeohc        -0.204037283 -0.274412584 -0.286211489  0.0362600977 -0.413292710 -0.363334489
enginetypeohcf       -0.183195035 -0.118320169 -0.124446030 -0.0466700922 -0.080295031 -0.016508113
enginetypeohcv        0.166151970  0.244052559  0.348869321 -0.0650632408  0.400878000  0.562403272
enginetyperotor      -0.081173921 -0.057876537 -0.013698751 -0.2387199302 -0.039195552 -0.184761854
enginetypedohc        0.069601249  0.171217601  0.057351206 -0.1014308048  0.202237032  0.182633355
cylindernumberfive    0.261182236  0.259893887  0.397690229  0.1529823904  0.264554492  0.144877554
cylindernumberfour   -0.309491642 -0.400209795 -0.523134846  0.0596955204 -0.576463094 -0.631430899
cylindernumbersix     0.145842406  0.262980669  0.209245951 -0.0497773486  0.405489630  0.511782952
cylindernumberthree  -0.120708757 -0.187444549 -0.183472547 -0.0150760971 -0.143903173 -0.111081461
cylindernumbertwelve  0.037802860  0.100412957  0.153516217 -0.1701805530  0.187963579  0.335554641
cylindernumbertwo    -0.081173921 -0.057876537 -0.013698751 -0.2387199302 -0.039195552 -0.184761854
cylindernumbereight   0.261723565  0.245778399  0.423530068  0.0165486828  0.342655766  0.493637920
fuelsystem2bbl       -0.396505419 -0.487237464 -0.522594335 -0.0794184972 -0.577158668 -0.442562029
fuelsystem4bbl       -0.070124456 -0.049998332 -0.011834065 -0.2062251625 -0.040801232 -0.166946027
fuelsystemidi         0.308345862  0.212678822  0.233879813  0.2846310584  0.217275322  0.069594286
fuelsystemmpfi        0.343972080  0.510307801  0.463335381  0.0944562958  0.524632501  0.490000189
fuelsystemspdi       -0.117358799 -0.079789813 -0.046398661 -0.2786154853 -0.002433751  0.004490197
fuelsystemspfi       -0.032128736 -0.008244719 -0.023157504 -0.0667775824  0.024052137 -0.013327144
fuelsystem1bbl       -0.191073196 -0.297330468 -0.194078398 -0.0352889662 -0.233857450 -0.169349186
CarNameaudi           0.110016964  0.149405456  0.246587913  0.0542807061  0.088743454  0.017231328
CarNamebmw            0.147803675  0.171119974  0.053411853  0.0909490798  0.145028243  0.193884855
CarNamebuick          0.408209543  0.347344832  0.485409356  0.1653537145  0.442555831  0.483128155
CarNamechevrolet     -0.127604869 -0.218994079 -0.194067558 -0.0662378833 -0.187364134 -0.136631666
CarNamedodge         -0.133609491 -0.227400355 -0.174349114 -0.1828911446 -0.166768971 -0.125043328
CarNamehonda         -0.191713062 -0.280777621 -0.185211639 -0.0519248162 -0.229843409 -0.172881003
CarNameisuzu         -0.092328749 -0.117767375 -0.155429377 -0.0868027561 -0.092903585 -0.082884829
CarNamejaguar         0.214572653  0.226930245  0.229245660 -0.1295654620  0.345314588  0.451075782
CarNamemaxda         -0.093467063 -0.120567163 -0.079213373  0.0152751350 -0.126233284 -0.085797171
CarNamemazda         -0.056904772 -0.038414241 -0.017656007 -0.0535862625 -0.110372023 -0.150882616
CarNamemercury        0.045961546  0.024750806  0.068451092  0.0308807788  0.047776161  0.022066660
CarNamemitsubishi    -0.147396442 -0.127248123 -0.079517859 -0.3237259737 -0.086989847 -0.053867100
CarNamenissan        -0.156718504 -0.077149452 -0.118726613 -0.0116518350 -0.092690128  0.007330955
CarNamepeugeot        0.453616021  0.330602281  0.276301793  0.3377014573  0.305064267  0.051078527
CarNameplymouth      -0.105510539 -0.139779960 -0.143778148 -0.1352556078 -0.121164173 -0.093338728
CarNameporsche       -0.170472124 -0.048681896  0.089564481 -0.1702647457  0.102170830  0.229486768
CarNamerenault       -0.043896311  0.041137849  0.029787034 -0.0356254286 -0.006892138  0.012168489
CarNamesaab           0.009926706  0.177076226  0.048051527  0.1691923019  0.063495496 -0.024692349
CarNamesubaru        -0.107160747 -0.105171891 -0.111604650  0.0025698687 -0.114887881 -0.118994239
CarNametoyota        -0.046785197 -0.073906481 -0.164233928 -0.0005298585 -0.094785604 -0.083807331
CarNamevolkswagen    -0.019851291  0.009029609  0.001290512  0.1667716596 -0.083389413 -0.109067306
CarNamevolvo          0.306227598  0.285398159  0.228757989  0.2453419239  0.221127345  0.088077032
CarNamevw            -0.070334046 -0.093145864 -0.083851688 -0.0091571355 -0.060781975 -0.042787857
CarNamealpha         -0.166150559 -0.044057075 -0.076375094 -0.1862269798  0.019732219  0.030586260
                         boreratio        stroke compressionratio    horsepower      peakrpm      citympg
car_ID                0.2600636802 -0.1608236186      0.150275906 -0.0150055671 -0.203789200  0.015940037
symboling            -0.1300513597 -0.0087351407     -0.178515084  0.0708727240  0.273606245 -0.035822628
fueltype              0.0544510292  0.2418288213      0.984356057 -0.1639261672 -0.476882642  0.255962563
aspiration           -0.2126141951 -0.2229821770     -0.295540772 -0.2416852495  0.183382835  0.202361877
doornumber            0.1192582239 -0.0110816439      0.177888309 -0.1269469423 -0.247668178 -0.012416654
enginelocation       -0.1850419419  0.1384554887      0.019762005 -0.3178393549 -0.198460847  0.153487457
wheelbase             0.4887498753  0.1609590473      0.249785845  0.3532944782 -0.360468748 -0.470413613
carlength             0.6064543580  0.1295326111      0.158413706  0.5526229674 -0.287242203 -0.670908662
carwidth              0.5591499086  0.1829416925      0.181128627  0.6407320756 -0.220012303 -0.642704341
carheight             0.1710709215 -0.0553066737      0.261214226 -0.1088020590 -0.320410724 -0.048639629
curbweight            0.6484797487  0.1687900353      0.151361740  0.7507392514 -0.266243184 -0.757413785
enginesize            0.5837743274  0.2031285879      0.028971360  0.8097686545 -0.244659825 -0.653657916
boreratio             1.0000000000 -0.0559089825      0.005197339  0.5736768235 -0.254975528 -0.584531716
stroke               -0.0559089825  1.0000000000      0.186110110  0.0809395357 -0.067963753 -0.042144754
compressionratio      0.0051973387  0.1861101103      1.000000000 -0.2043262262 -0.435740514  0.324701425
horsepower            0.5736768235  0.0809395357     -0.204326226  1.0000000000  0.131072505 -0.801456176
peakrpm              -0.2549755284 -0.0679637532     -0.435740514  0.1310725054  1.000000000 -0.113544384
citympg              -0.5845317157 -0.0421447540      0.324701425 -0.8014561757 -0.113544384  1.000000000
highwaympg           -0.5870117842 -0.0439309304      0.265201389 -0.7705438914 -0.054274808  0.971337042
price                 0.5531732368  0.0794430839      0.067983506  0.8081388225 -0.085267150 -0.685751336
carbodyhardtop        0.2080892726  0.0432145108      0.029622979  0.1948011148 -0.039756145 -0.110992529
carbodyhatchback     -0.2270317914  0.0523163632     -0.202650309 -0.0537702307  0.159797900  0.120794823
carbodysedan          0.0305165453  0.0356303626      0.188285861 -0.0240974532 -0.085502578  0.014869747
carbodywagon          0.1057193444 -0.0950837294      0.016315104 -0.0630811068 -0.083901315 -0.067356280
carbodyconvertible    0.1040560621 -0.1177175985     -0.052990326  0.1212672976  0.012119720 -0.125570639
drivewheelfwd        -0.5830867420  0.1243968391     -0.062683272 -0.5444382767  0.124550982  0.563879012
drivewheelrwd         0.5741049420 -0.0223248279      0.105184502  0.5755643190 -0.086159396 -0.545788887
drivewheel4wd         0.0486615990 -0.2464992550     -0.097241883 -0.0477146893 -0.096379691 -0.069229047
enginetypedohcv       0.1581362606 -0.0325449014     -0.002518602  0.3263666257  0.091946822 -0.088180562
enginetypel           0.1817289411 -0.0846881269      0.219152651 -0.0544692213 -0.220599475 -0.027491095
enginetypeohc        -0.4103827002  0.3660842063      0.027545225 -0.4276162231  0.028189136  0.391236216
enginetypeohcf        0.3267975474 -0.5228082177     -0.084328255  0.0447517732 -0.073885442 -0.032412804
enginetypeohcv        0.1195091461 -0.0448133825     -0.086649364  0.4315391836 -0.060011159 -0.336925699
enginetyperotor       0.0001273477 -0.0001869765     -0.026436139  0.0192499613  0.259379726 -0.183076360
enginetypedohc        0.0679044970  0.0222534360     -0.071900230  0.2647453915  0.130947320 -0.199426923
cylindernumberfive   -0.0077971328  0.1764849457      0.173360349  0.1106915236 -0.021670938 -0.207028972
cylindernumberfour   -0.1640758085 -0.1110463801     -0.012522072 -0.6395519368 -0.047781799  0.541267118
cylindernumbersix     0.1283649970  0.0683878826     -0.065558548  0.5335443617  0.014255756 -0.386550672
cylindernumberthree  -0.1087739826 -0.0504495100     -0.011353532 -0.0996000017 -0.003696535  0.233665407
cylindernumbertwelve  0.0544817972 -0.1108775640      0.023986189  0.2802202411 -0.018410898 -0.131093358
cylindernumbertwo     0.0001273477 -0.0001869765     -0.026436139  0.0192499613  0.259379726 -0.183076360
cylindernumbereight   0.2119894208 -0.0269972912     -0.064745964  0.3570622186 -0.091422225 -0.237904042
fuelsystem2bbl       -0.3533420431 -0.2348662912     -0.183384209 -0.5419660347 -0.095624518  0.520750624
fuelsystem4bbl        0.0001100130 -0.0001615251     -0.022837628 -0.0096296689  0.224072728 -0.153487457
fuelsystemidi         0.0544510292  0.2418288213      0.984356057 -0.1639261672 -0.476882642  0.255962563
fuelsystemmpfi        0.4287981914 -0.0900393419     -0.318554712  0.6380290807  0.147271423 -0.653317744
fuelsystemspdi       -0.0042127533  0.2512589026     -0.153726054  0.1176644357  0.068748487 -0.123953808
fuelsystemspfi        0.0259768198 -0.0056879885     -0.016654490 -0.0250558419 -0.018410898 -0.013083169
fuelsystem1bbl       -0.2922263759  0.1411940325     -0.053910808 -0.1664321248  0.324087608  0.227497252
CarNameaudi          -0.1091891726  0.0869021841     -0.082688769  0.0804717749  0.148136806 -0.183306221
CarNamebmw            0.1073987143 -0.0566321412     -0.079721923  0.1775600107 -0.023874346 -0.180468768
CarNamebuick          0.2052923127  0.1140734252      0.238141164  0.2152350160 -0.270042226 -0.207487305
CarNamechevrolet     -0.1532481719 -0.0670360709     -0.017711589 -0.1280540015  0.044789558  0.294677699
CarNamedodge         -0.1866292686  0.0754452414     -0.081558512 -0.0966041387  0.118787329  0.091296918
CarNamehonda         -0.2968394697  0.1720905051     -0.060886384 -0.1575612557  0.343825260  0.205940597
CarNameisuzu         -0.0677489927 -0.0385171531     -0.032666571 -0.0969737516  0.007375727  0.124950604
CarNamejaguar         0.1218944540  0.1731928800     -0.027963667  0.3106309173 -0.074732555 -0.203283585
CarNamemaxda         -0.1101230180 -0.0334470495     -0.028621032 -0.0908780386 -0.026100993  0.080312460
CarNamemazda          0.0030268426  0.0466318409      0.038585112 -0.1157477282 -0.001056192 -0.006580569
CarNamemercury        0.1166744753 -0.0303068253     -0.037858322  0.1258073387 -0.018410898 -0.066724164
CarNamemitsubishi    -0.0760709866  0.1983237187     -0.136659853 -0.0002648421  0.078807610 -0.011819330
CarNamenissan        -0.0864810054  0.0574412890     -0.027255733 -0.0122812269  0.034333527  0.084644035
CarNamepeugeot        0.2229510982 -0.0726273830      0.231817112 -0.0259496416 -0.228671121 -0.100885161
CarNameplymouth      -0.1449793611  0.0723053983     -0.069808641 -0.0829496692  0.091685379  0.084224490
CarNameporsche        0.2868965363 -0.1371807563     -0.021649468  0.4260032646  0.220937044 -0.189448674
CarNamerenault        0.0478484065  0.2045207368     -0.036136161 -0.0355214808 -0.005240550 -0.033757200
CarNamesaab           0.0280060504 -0.1954258346     -0.041231285  0.0992583889  0.075981890 -0.130005088
CarNamesubaru         0.2678663582 -0.5091332121     -0.083437462 -0.1129392246 -0.183479627  0.042556836
CarNametoyota        -0.0792029483 -0.0005700421      0.021501027 -0.1235903089 -0.240202082  0.150287062
CarNamevolkswagen    -0.1774850263  0.1046639114      0.257610229 -0.1424664730 -0.019095071  0.148531259
CarNamevolvo          0.2934575021 -0.0823150847      0.005092281  0.1441658653  0.082966517 -0.147323078
CarNamevw            -0.0513429531  0.0458755459     -0.041146247 -0.0355214808  0.078201220 -0.018547912
CarNamealpha         -0.0555199168 -0.1215745354     -0.035140121  0.0655440378 -0.032046086 -0.091242296
                        highwaympg        price carbodyhardtop carbodyhatchback  carbodysedan carbodywagon
car_ID                1.125532e-02 -0.109093339    0.077895956     -0.111425362 -0.0147022252  0.150386899
symboling             3.460600e-02 -0.079978225    0.168844544      0.435648137 -0.3783410334 -0.298242511
fueltype              1.913919e-01  0.105679482    0.018635178     -0.202092939  0.1856232006  0.028183227
aspiration            2.544165e-01 -0.177926225    0.029074201     -0.009785654 -0.0171109735 -0.018907680
doornumber           -3.632985e-02  0.031835266   -0.227792566     -0.606687674  0.5150456806  0.329690237
enginelocation        1.020262e-01 -0.324973301   -0.394977981      0.087754032  0.1143687331  0.045417026
wheelbase            -5.440819e-01  0.577815598   -0.008607579     -0.386093732  0.2910855084  0.210899313
carlength            -7.046616e-01  0.682920016    0.047291821     -0.436268753  0.2696466147  0.219683396
carwidth             -6.772179e-01  0.759325300    0.066360007     -0.222307828  0.1546366646  0.060638676
carheight            -1.073576e-01  0.119336227   -0.072327757     -0.477475933  0.2358633814  0.459147600
curbweight           -7.974648e-01  0.835304879    0.098956326     -0.287501476  0.0994251051  0.164074693
enginesize           -6.774699e-01  0.874144803    0.239363362     -0.216805018  0.0884593364 -0.027517911
boreratio            -5.870118e-01  0.553173237    0.208089273     -0.227031791  0.0305165453  0.105719344
stroke               -4.393093e-02  0.079443084    0.043214511      0.052316363  0.0356303626 -0.095083729
compressionratio      2.652014e-01  0.067983506    0.029622979     -0.202650309  0.1882858607  0.016315104
horsepower           -7.705439e-01  0.808138823    0.194801115     -0.053770231 -0.0240974532 -0.063081107
peakrpm              -5.427481e-02 -0.085267150   -0.039756145      0.159797900 -0.0855025777 -0.083901315
citympg               9.713370e-01 -0.685751336   -0.110992529      0.120794823  0.0148697474 -0.067356280
highwaympg            1.000000e+00 -0.697599092   -0.102706541      0.148867980  0.0112177437 -0.110193885
price                -6.975991e-01  1.000000000    0.225854012     -0.262039221  0.1257164823 -0.042309712
carbodyhardtop       -1.027065e-01  0.225854012    1.000000000     -0.145108889 -0.1891186016 -0.075100985
carbodyhatchback      1.488680e-01 -0.262039221   -0.145108889      1.000000000 -0.6757787066 -0.268358829
carbodysedan          1.121774e-02  0.125716482   -0.189118602     -0.675778707  1.0000000000 -0.349748708
carbodywagon         -1.101939e-01 -0.042309712   -0.075100985     -0.268358829 -0.3497487084  1.000000000
carbodyconvertible   -1.200939e-01  0.187681208   -0.034991372     -0.125034892 -0.1629564123 -0.064711704
drivewheelfwd         6.008283e-01 -0.601950297   -0.188307995      0.167552114  0.0159711060 -0.079705340
drivewheelrwd        -5.661487e-01  0.638956539    0.210390319     -0.148046215  0.0082933266 -0.008280466
drivewheel4wd        -1.100808e-01 -0.058866139   -0.043182233     -0.053883710 -0.0579563720  0.211184198
enginetypedohcv      -2.803994e-02  0.159225044   -0.014109018      0.097230559 -0.0657063411 -0.026092679
enginetypel          -6.961482e-02  0.042267238   -0.050248586     -0.135733967  0.0574868209  0.161074877
enginetypeohc         4.260488e-01 -0.344270146   -0.043606450      0.056559712  0.0805709953 -0.101439120
enginetypeohcf       -4.708622e-02  0.016284870    0.136835083     -0.083820630 -0.0759935620  0.124259993
enginetypeohcv       -3.606164e-01  0.385991282    0.050923820     -0.018531233 -0.0035220973 -0.035805744
enginetyperotor      -1.591728e-01 -0.004544155   -0.028427839      0.195906945 -0.1323897416 -0.052573358
enginetypedohc       -2.148055e-01  0.151428775   -0.050248586     -0.004275086 -0.0257979726 -0.029427141
cylindernumberfive   -2.371666e-01  0.249605920    0.063798512     -0.125815844  0.0802034660  0.043564256
cylindernumberfour    5.473261e-01 -0.697761660   -0.133132121      0.066757429 -0.0341778583  0.057521500
cylindernumbersix    -3.666964e-01  0.474977907    0.083316972     -0.070234695  0.0535443225 -0.042973669
cylindernumberthree   2.267556e-01 -0.071387754   -0.014109018      0.097230559 -0.0657063411 -0.026092679
cylindernumbertwelve -1.401500e-01  0.199633568   -0.014109018     -0.050415845  0.0746040748 -0.026092679
cylindernumbertwo    -1.591728e-01 -0.004544155   -0.028427839      0.195906945 -0.1323897416 -0.052573358
cylindernumbereight  -2.658672e-01  0.478614427    0.131433429     -0.047168504 -0.0216395973 -0.058925565
fuelsystem2bbl        5.280095e-01 -0.501374342   -0.084946414      0.120288124 -0.0608300294  0.030349322
fuelsystem4bbl       -1.375061e-01 -0.017306043   -0.024558216      0.169239918 -0.1143687331 -0.045417026
fuelsystemidi         1.913919e-01  0.105679482    0.018635178     -0.202092939  0.1856232006  0.028183227
fuelsystemmpfi       -6.199592e-01  0.516295140    0.115814145     -0.194718368  0.0688534151  0.012395228
fuelsystemspdi       -1.066148e-01 -0.061474847   -0.043182233      0.197165392 -0.1056714574 -0.079859571
fuelsystemspfi       -1.784812e-02 -0.019580151   -0.014109018      0.097230559 -0.0657063411 -0.026092679
fuelsystem1bbl        2.008438e-01 -0.170945398   -0.047985205      0.148084135 -0.0933238220 -0.022588874
CarNameaudi          -1.808744e-01  0.108116554   -0.037890323     -0.078749416  0.0926924208  0.012012500
CarNamebmw           -1.577087e-01  0.324730688   -0.040609137     -0.145108889  0.2147284123 -0.075100985
CarNamebuick         -2.860472e-01  0.515094050    0.219543147     -0.145108889  0.0128049053  0.001877525
CarNamechevrolet      2.764256e-01 -0.111167929   -0.024558216      0.083575268 -0.0329604335 -0.045417026
CarNamedodge          1.048058e-01 -0.145233314   -0.043182233      0.096745751 -0.0579563720 -0.007098628
CarNamehonda          1.784178e-01 -0.166260265   -0.052436409      0.108098859 -0.0436348721 -0.035805744
CarNameisuzu          1.077847e-01 -0.077182152   -0.028427839     -0.027209298  0.0796407039 -0.052573358
CarNamejaguar        -2.202924e-01  0.326074320   -0.024558216     -0.087754032  0.1298561657 -0.045417026
CarNamemaxda          5.416564e-02 -0.095053108   -0.020002250      0.137843040 -0.0931513914 -0.036991397
CarNamemazda          3.471611e-02 -0.068966738   -0.056621414      0.113687752 -0.0009155851 -0.104713477
CarNamemercury       -6.880722e-02  0.028344297   -0.014109018      0.097230559 -0.0657063411 -0.026092679
CarNamemitsubishi     1.525072e-02 -0.131810787   -0.052436409      0.192518920 -0.0837476468 -0.096973889
CarNamenissan         9.905251e-02 -0.111382619    0.026484677     -0.041667256  0.0197142355  0.042395585
CarNamepeugeot       -1.426320e-01  0.066104758   -0.047985205     -0.171465841  0.0802034660  0.175870516
CarNameplymouth       9.283094e-02 -0.125359354   -0.037890323      0.091183534 -0.0687972075  0.012012500
