                        fueltype   aspiration   doornumber enginelocation    wheelbase    carlength
cylindernumberthree  -0.02302046  0.032857244 -0.079143013    0.008532374 -0.120708757 -0.187444549
cylindernumbertwelve -0.02302046  0.032857244 -0.079143013    0.008532374  0.037802860  0.100412957
cylindernumbertwo    -0.04638324  0.066203079 -0.159462891    0.017191624 -0.081173921 -0.057876537
cylindernumbereight  -0.05198752  0.074202105 -0.051287764    0.019268812  0.261723565  0.245778399
fuelsystem2bbl       -0.22656546  0.323378237  0.020524872    0.083974903 -0.396505419 -0.487237464
fuelsystem4bbl       -0.04006951  0.057191457 -0.137756661    0.014851485 -0.070124456 -0.049998332
fuelsystemidi         1.00000000 -0.401397228  0.191490535    0.040069514  0.308345862  0.212678822
fuelsystemmpfi       -0.30555866  0.029157764  0.013942469   -0.131135260  0.343972080  0.510307801
fuelsystemspdi       -0.07045671 -0.394703334 -0.146271782    0.026114286 -0.117358799 -0.079789813
fuelsystemspfi       -0.02302046  0.032857244 -0.079143013    0.008532374 -0.032128736 -0.008244719
fuelsystem1bbl       -0.07829330  0.111748499 -0.094687495    0.029018865 -0.191073196 -0.297330468
CarNameaudi          -0.06182236 -0.051444604  0.058085922    0.022914024  0.110016964  0.149405456
CarNamebmw           -0.06625841  0.094571026  0.025998065    0.024558216  0.147803675  0.171119974
CarNamebuick          0.27331594 -0.167416276  0.025998065    0.024558216  0.408209543  0.347344832
CarNamechevrolet     -0.04006951  0.057191457 -0.055901254    0.014851485 -0.127604869 -0.218994079
CarNamedodge         -0.07045671 -0.085161699 -0.050317493    0.026114286 -0.133609491 -0.227400355
CarNamehonda         -0.08555595  0.122114513 -0.092470966    0.031710713 -0.191713062 -0.280777621
CarNameisuzu         -0.04638324  0.066203079 -0.017332923    0.017191624 -0.092328749 -0.117767375
CarNamejaguar        -0.04006951  0.057191457  0.025954154    0.014851485  0.214572653  0.226930245
CarNamemaxda         -0.03263594  0.046581471 -0.112200462    0.012096283 -0.093467063 -0.120567163
CarNamemazda          0.03387423  0.131860601 -0.015650432    0.034241578 -0.056904772 -0.038414241
CarNamemercury       -0.02302046 -0.149189650 -0.079143013    0.008532374  0.045961546  0.024750806
CarNamemitsubishi    -0.08555595 -0.190153369 -0.132804046    0.031710713 -0.147396442 -0.127248123
CarNamenissan        -0.04392116  0.100783252 -0.038120210    0.037809453 -0.156718504 -0.077149452
CarNamepeugeot        0.28648231 -0.225968095  0.210653079    0.029018865  0.453616021  0.330602281
CarNameplymouth      -0.06182236 -0.051444604  0.003960404    0.022914024 -0.105510539 -0.139779960
CarNameporsche       -0.05198752  0.074202105 -0.178730088   -0.770752493 -0.170472124 -0.048681896
CarNamerenault       -0.03263594  0.046581471 -0.012195702    0.012096283 -0.043896311  0.041137849
CarNamesaab          -0.05709239 -0.069008118 -0.021334817    0.021160895  0.009926706  0.177076226
CarNamesubaru        -0.08198627  0.008960952  0.094975918    0.030387636 -0.107160747 -0.105171891
CarNametoyota        -0.00552384  0.166889552  0.001321088    0.052412742 -0.046785197 -0.073906481
CarNamevolkswagen     0.23082005 -0.011489131  0.109070825    0.027597366 -0.019851291  0.009029609
CarNamevolvo         -0.00533818 -0.169681996  0.210653079    0.029018865  0.306227598  0.285398159
CarNamevw            -0.03263594  0.046581471 -0.112200462    0.012096283 -0.070334046 -0.093145864
CarNamealpha         -0.04006951  0.057191457 -0.137756661    0.014851485 -0.166150559 -0.044057075
                         carwidth     carheight   curbweight    enginesize     boreratio        stroke
fueltype              0.233879813  0.2846310584  0.225559010  0.1200727739  0.0544510292  0.2418288213
aspiration           -0.300567369 -0.0873110934 -0.349509468 -0.1827962660 -0.2126141951 -0.2229821770
doornumber            0.207168219  0.5522079480  0.200898935  0.0371935541  0.1192582239 -0.0110816439
enginelocation        0.051697642  0.1062342488 -0.057974177 -0.2642484657 -0.1850419419  0.1384554887
wheelbase             0.795143644  0.5894347617  0.765488751  0.5524665831  0.4887498753  0.1609590473
carlength             0.841118268  0.4910294575  0.879710217  0.6999869693  0.6064543580  0.1295326111
carwidth              1.000000000  0.2792103211  0.860566083  0.7323341300  0.5591499086  0.1829416925
carheight             0.279210321  1.0000000000  0.317337738  0.1075765265  0.1710709215 -0.0553066737
curbweight            0.860566083  0.3173377381  1.000000000  0.8580490638  0.6618189672  0.1487355582
enginesize            0.732334130  0.1075765265  0.858049064  1.0000000000  0.6380868736  0.2295509163
boreratio             0.559149909  0.1710709215  0.661818967  0.6380868736  1.0000000000 -0.0559089825
stroke                0.182941693 -0.0553066737  0.148735558  0.2295509163 -0.0559089825  1.0000000000
compressionratio     -0.012052680  0.1533094258 -0.069431051 -0.0846638968 -0.0993264268 -0.0379290551
horsepower            0.650014683 -0.0543737678  0.784932874  0.8222901964  0.5773806708  0.1356418794
peakrpm              -0.209761852 -0.3205849019 -0.252512822 -0.2336617884 -0.2577754421 -0.0652429480
citympg              -0.648283648 -0.0412865540 -0.775924370 -0.6998715770 -0.5874155750 -0.0475981164
highwaympg           -0.691952581 -0.1073853379 -0.820453626 -0.7128341626 -0.5936807652 -0.0505451829
price                 0.759325300  0.1193362266  0.808889948  0.8346705445  0.5531732368  0.0794430839
carbodyhardtop        0.066360007 -0.0723277573  0.101465961  0.2406277372  0.2080892726  0.0432145108
carbodyhatchback     -0.222307828 -0.4774759332 -0.285681367 -0.2142782131 -0.2270317914  0.0523163632
carbodysedan          0.154636665  0.2358633814  0.085998694  0.0623763102  0.0305165453  0.0356303626
carbodywagon          0.060638676  0.4591476003  0.180132067 -0.0006072504  0.1057193444 -0.0950837294
carbodyconvertible   -0.026328067 -0.1632386603  0.082842606  0.1428941193  0.1040560621 -0.1177175985
symboling2            0.295533744  0.3100427813  0.276554698  0.2214768420  0.1729754611  0.1088637527
symboling3            0.106803673  0.3013542747  0.199873438  0.0975219692  0.1665278785 -0.0808753006
symboling4           -0.240229729 -0.2237218517 -0.390703451 -0.3079906163 -0.4310648094  0.0087654119
symboling5           -0.163605877 -0.0358178981 -0.183005568 -0.1361647732 -0.0404022393  0.0187631872
symboling6            0.043741848 -0.4158476204  0.137109658  0.1913488593  0.1519761468 -0.0044355869
symboling1            0.073587885  0.1237448527  0.106629043  0.0506604930  0.1790278954 -0.0410653735
drivewheelfwd        -0.472116424 -0.1002732476 -0.676952487 -0.5552532564 -0.5830867420  0.1243968391
drivewheelrwd         0.511148945  0.0398138583  0.677573054  0.6050999971  0.5741049420 -0.0223248279
drivewheel4wd        -0.069763526  0.1472601530  0.030448857 -0.0913389797  0.0486615990 -0.2464992550
enginetypedohcv       0.209135721 -0.0926283251  0.119382460  0.1518142184  0.1581362606 -0.0325449014
enginetypel           0.210770891  0.3196866765  0.276146091  0.0438872187  0.1817289411 -0.0846881269
enginetypeohc        -0.286211489  0.0362600977 -0.404385093 -0.3317292330 -0.4103827002  0.3660842063
enginetypeohcf       -0.124446030 -0.0466700922 -0.077269289  0.0049880707  0.3267975474 -0.5228082177
enginetypeohcv        0.348869321 -0.0650632408  0.377221146  0.4769308527  0.1195091461 -0.0448133825
enginetyperotor      -0.013698751 -0.2387199302 -0.037595234 -0.2242319231  0.0001273477 -0.0001869765
enginetypedohc        0.057351206 -0.1014308048  0.176464597  0.1756366556  0.0679044970  0.0222534360
cylindernumberfive    0.397690229  0.1529823904  0.267756809  0.2083432017 -0.0077971328  0.1764849457
cylindernumberfour   -0.523134846  0.0596955204 -0.559721777 -0.6379250761 -0.1640758085 -0.1110463801
cylindernumbersix     0.209245951 -0.0497773486  0.411069235  0.6103161765  0.1283649970  0.0683878826
cylindernumberthree  -0.183472547 -0.0150760971 -0.152145846 -0.1361912551 -0.1087739826 -0.0504495100
cylindernumbertwelve  0.153516217 -0.1701805530  0.139190435  0.1518142184  0.0544817972 -0.1108775640
cylindernumbertwo    -0.013698751 -0.2387199302 -0.037595234 -0.2242319231  0.0001273477 -0.0001869765
cylindernumbereight   0.423530068  0.0165486828  0.305389719  0.3428447757  0.2119894208 -0.0269972912
fuelsystem2bbl       -0.522594335 -0.0794184972 -0.597349433 -0.5043624997 -0.3533420431 -0.2348662912
fuelsystem4bbl       -0.011834065 -0.2062251625 -0.039922771 -0.2031322745  0.0001100130 -0.0001615251
fuelsystemidi         0.233879813  0.2846310584  0.225559010  0.1200727739  0.0544510292  0.2418288213
fuelsystemmpfi        0.463335381  0.0944562958  0.539437184  0.5292298073  0.4287981914 -0.0900393419
fuelsystemspdi       -0.046398661 -0.2786154853  0.004143810  0.0257489207 -0.0042127533  0.2512589026
fuelsystemspfi       -0.023157504 -0.0667775824  0.028005522 -0.0105948832  0.0259768198 -0.0056879885
fuelsystem1bbl       -0.194078398 -0.0352889662 -0.243333448 -0.1953805392 -0.2922263759  0.1411940325
CarNameaudi           0.246587913  0.0542807061  0.101114111  0.0396704417 -0.1091891726  0.0869021841
CarNamebmw            0.053411853  0.0909490798  0.161807237  0.2328368650  0.1073987143 -0.0566321412
CarNamebuick          0.485409356  0.1653537145  0.400207295  0.4026778779  0.2052923127  0.1140734252
CarNamechevrolet     -0.194067558 -0.0662378833 -0.197128323 -0.1641838795 -0.1532481719 -0.0670360709
CarNamedodge         -0.174349114 -0.1828911446 -0.172124596 -0.1406779062 -0.1866292686  0.0754452414
CarNamehonda         -0.185211639 -0.0519248162 -0.238331699 -0.1978587645 -0.2968394697  0.1720905051
CarNameisuzu         -0.155429377 -0.0868027561 -0.095203269 -0.0933386264 -0.0677489927 -0.0385171531
CarNamejaguar         0.229245660 -0.1295654620  0.242275456  0.2642484657  0.1218944540  0.1731928800
CarNamemaxda         -0.079213373  0.0152751350 -0.132271077 -0.1009788596 -0.1101230180 -0.0334470495
CarNamemazda         -0.017656007 -0.0535862625 -0.109530319 -0.1676585246  0.0030268426  0.0466318409
CarNamemercury        0.068451092  0.0308807788  0.053452264  0.0348796653  0.1166744753 -0.0303068253
CarNamemitsubishi    -0.079517859 -0.3237259737 -0.085104839 -0.0449477228 -0.0760709866  0.1983237187
CarNamenissan        -0.118726613 -0.0116518350 -0.089641648  0.0383466559 -0.0864810054  0.0574412890
CarNamepeugeot        0.276301793  0.3377014573  0.334722015  0.0878286522  0.2229510982 -0.0726273830
CarNameplymouth      -0.143778148 -0.1352556078 -0.124035936 -0.1023918052 -0.1449793611  0.0723053983
CarNameporsche        0.089564481 -0.1702647457  0.114573706  0.3007883229  0.2868965363 -0.1371807563
CarNamerenault        0.029787034 -0.0356254286 -0.004263987  0.0248890501  0.0478484065  0.2045207368
CarNamesaab           0.048051527  0.1691923019  0.073579340 -0.0155351018  0.0280060504 -0.1954258346
CarNamesubaru        -0.111604650  0.0025698687 -0.115370892 -0.1296364299  0.2678663582 -0.5091332121
CarNametoyota        -0.164233928 -0.0005298585 -0.088112242 -0.0675764654 -0.0792029483 -0.0005700421
CarNamevolkswagen     0.001290512  0.1667716596 -0.082306851 -0.1190169543 -0.1774850263  0.1046639114
CarNamevolvo          0.228757989  0.2453419239  0.244690022  0.1353649467  0.2934575021 -0.0823150847
CarNamevw            -0.083851688 -0.0091571355 -0.062067028 -0.0457197773 -0.0513429531  0.0458755459
CarNamealpha         -0.076375094 -0.1862269798  0.025006310  0.0506604930 -0.0555199168 -0.1215745354
                     compressionratio    horsepower      peakrpm       citympg   highwaympg        price
fueltype                  0.692421458 -0.1713612431 -0.502255281  0.2593997470  0.173119712  0.105679482
aspiration                0.112413291 -0.3103871332  0.179074728  0.2042573567  0.259300192 -0.177926225
doornumber                0.093014276 -0.0886137822 -0.230415199  0.0110088115 -0.019798408  0.031835266
enginelocation           -0.060034347 -0.2259929271 -0.191933657  0.1599276807  0.106118253 -0.324973301
wheelbase                 0.041848435  0.4172308547 -0.357156880 -0.4643067303 -0.548525138  0.577815598
carlength                -0.031987234  0.6146347937 -0.278963382 -0.6665996020 -0.710789592  0.682920016
carwidth                 -0.012052680  0.6500146827 -0.209761852 -0.6482836484 -0.691952581  0.759325300
carheight                 0.153309426 -0.0543737678 -0.320584902 -0.0412865540 -0.107385338  0.119336227
curbweight               -0.069431051  0.7849328737 -0.252512822 -0.7759243698 -0.820453626  0.808889948
enginesize               -0.084663897  0.8222901964 -0.233661788 -0.6998715770 -0.712834163  0.834670544
boreratio                -0.099326427  0.5773806708 -0.257775442 -0.5874155750 -0.593680765  0.553173237
stroke                   -0.037929055  0.1356418794 -0.065242948 -0.0475981164 -0.050545183  0.079443084
compressionratio          1.000000000 -0.3680521723 -0.245175795  0.4611806490  0.413252870 -0.057434963
horsepower               -0.368052172  1.0000000000  0.114739419 -0.8704275655 -0.854897162  0.770554826
peakrpm                  -0.245175795  0.1147394192  1.000000000 -0.1145559751 -0.032363402 -0.083506312
citympg                   0.461180649 -0.8704275655 -0.114555975  1.0000000000  0.969296298 -0.707175968
highwaympg                0.413252870 -0.8548971623 -0.032363402  0.9692962982  1.000000000 -0.725882432
price                    -0.057434963  0.7705548262 -0.083506312 -0.7071759681 -0.725882432  1.000000000
carbodyhardtop            0.077823997  0.1653564804 -0.046179694 -0.1132264607 -0.104289989  0.225854012
carbodyhatchback         -0.159740031 -0.0622170014  0.150921446  0.1099188141  0.143344436 -0.262039221
carbodysedan              0.122138125 -0.0157181536 -0.076190448  0.0246983640  0.016193933  0.125716482
carbodywagon              0.011902584 -0.0459325469 -0.082226497 -0.0633610257 -0.106859780 -0.042309712
carbodyconvertible       -0.024698179  0.1207616787  0.013652820 -0.1292593766 -0.123939484  0.187681208
symboling2                0.077223495  0.1712949979 -0.181098760 -0.1302444963 -0.178201698  0.176377797
symboling3                0.020277801 -0.0455721165 -0.222757665 -0.0335514583 -0.069563421  0.095324216
symboling4               -0.031089451 -0.2608835795  0.186716695  0.2987491176  0.313822828 -0.243035891
symboling5                0.132365047 -0.1506164447  0.006832289  0.1552495934  0.186778787 -0.170937097
symboling6               -0.189369114  0.3700654945  0.205207666 -0.3636514796 -0.318756339  0.192775009
symboling1               -0.030987331  0.1065317182  0.053438762 -0.0742406543 -0.086985235  0.038305622
drivewheelfwd            -0.009485913 -0.5613151261  0.160938090  0.5791207656  0.620939022 -0.601950297
drivewheelrwd             0.082573149  0.5896077847 -0.123671425 -0.5615474804 -0.585918402  0.638956539
drivewheel4wd            -0.171856250 -0.0402393945 -0.095442989 -0.0687290978 -0.111832584 -0.058866139
enginetypedohcv           0.073710385  0.1298359084  0.102311696 -0.0918805556 -0.027989820  0.159225044
enginetypel               0.104212372 -0.0455511095 -0.228346872 -0.0541268527 -0.099684390  0.042267238
enginetypeohc            -0.009798732 -0.4100930264  0.071842777  0.4169276763  0.456637488 -0.344270146
enginetypeohcf           -0.033669660 -0.0005458211 -0.081152427 -0.0283181650 -0.041746036  0.016284870
enginetypeohcv           -0.081711649  0.4310324339 -0.054226929 -0.3512189846 -0.380565265  0.385991282
enginetyperotor           0.053689334  0.0347292587  0.222176522 -0.1908498072 -0.167134831 -0.004544155
enginetypedohc           -0.016843321  0.3223664748  0.076280734 -0.2058497989 -0.223653324  0.151428775
cylindernumberfive        0.033875218  0.1531169596 -0.013668520 -0.2141398445 -0.248131692  0.249605920
cylindernumberfour        0.010918431 -0.6263622507 -0.044506279  0.5787432735  0.591363538 -0.697761660
cylindernumbersix        -0.054514057  0.5530310664  0.020009881 -0.4015471678 -0.383779748  0.474977907
cylindernumberthree       0.034490522 -0.1146657177 -0.001125584  0.1466874732  0.136892740 -0.071387754
cylindernumbertwelve      0.147443727  0.1298359084 -0.017039012 -0.1373220849 -0.148903697  0.199633568
cylindernumbertwo         0.053689334  0.0347292587  0.222176522 -0.1908498072 -0.167134831 -0.004544155
cylindernumbereight      -0.095708441  0.2796488797 -0.092385875 -0.2485440773 -0.281659498  0.478614427
fuelsystem2bbl            0.021413365 -0.5988999010 -0.075149155  0.5509164174  0.568689730 -0.501374342
fuelsystem4bbl            0.046381095 -0.0017300023  0.191933657 -0.1599276807 -0.144384290 -0.017306043
fuelsystemidi             0.692421458 -0.1713612431 -0.502255281  0.2593997470  0.173119712  0.105679482
fuelsystemmpfi           -0.293472884  0.6835251208  0.150704203 -0.6719557780 -0.638751406  0.516295140
fuelsystemspdi           -0.422599769  0.1596055915  0.083141390 -0.1266786387 -0.108094498 -0.061474847
fuelsystemspfi            0.010958604 -0.0245861712 -0.017039012 -0.0123578793 -0.016997649 -0.019580151
fuelsystem1bbl            0.049396727 -0.1817606837  0.311063824  0.2073548086  0.186890396 -0.170945398
CarNameaudi              -0.139092612  0.1125270849  0.167921741 -0.1900897283 -0.189030256  0.108116554
CarNamebmw               -0.109563722  0.1846474424 -0.017553032 -0.1867967443 -0.163611431  0.324730688
CarNamebuick              0.109431565  0.2425203285 -0.283780992 -0.2154074101 -0.302028129  0.515094050
CarNamechevrolet          0.069136514 -0.1448345753  0.053438762  0.2553248316  0.238276078 -0.111167929
CarNamedodge             -0.102234912 -0.0993176568  0.137257869  0.1012562222  0.119928731 -0.145233314
CarNamehonda              0.045212802 -0.1692455088  0.337023638  0.1879114248  0.166230957 -0.166260265
CarNameisuzu              0.026031309 -0.1057160743  0.013763839  0.1353283407  0.120786517 -0.077182152
CarNamejaguar            -0.001860394  0.2259929271 -0.075823140 -0.2126581584 -0.233671709  0.326074320
CarNamemaxda             -0.006704752 -0.1017487816 -0.024156080  0.0871662687  0.061611912 -0.095053108
CarNamemazda              0.033065674 -0.1170296377 -0.023675948 -0.0009637072  0.046480123 -0.068966738
CarNamemercury           -0.083169068  0.1298359084 -0.017039012 -0.0691597909 -0.071958503  0.028344297
CarNamemitsubishi        -0.291159418  0.0208322872  0.095904102 -0.0069549882  0.024818141 -0.131810787
CarNamenissan             0.043540055 -0.0096843151  0.049858818  0.0766850490  0.097867887 -0.111382619
CarNamepeugeot            0.097901440 -0.0120009279 -0.237537029 -0.1017412703 -0.146173390  0.066104758
CarNameplymouth          -0.081915378 -0.0849522294  0.106870119  0.0932058348  0.106168805 -0.125359354
CarNameporsche            0.095604748  0.2748053498  0.223864825 -0.1972333665 -0.112857546  0.359580776
CarNamerenault           -0.040065777 -0.0348556322 -0.001595732 -0.0336252032  0.007069596 -0.045855779
CarNamesaab               0.027502346  0.1340595180  0.089296822 -0.1339551363 -0.087590995  0.042413913
CarNamesubaru            -0.068059191 -0.1162065625 -0.188202148  0.0503933992  0.007972842 -0.148167054
CarNametoyota             0.094721276 -0.1143857538 -0.291009337  0.1683342172  0.142466946 -0.182997066
CarNamevolkswagen         0.194265931 -0.1537486637 -0.011361253  0.1621233002  0.176119445 -0.094943228
CarNamevolvo              0.018838757  0.1935675265  0.099495782 -0.1509156465 -0.176760881  0.143017238
CarNamevw                -0.062306461 -0.0348556322  0.088645661 -0.0175196737 -0.024097441 -0.031003168
CarNamealpha             -0.008231912  0.0891102920 -0.029658175 -0.0940145835 -0.074229889  0.033972907
                     carbodyhardtop carbodyhatchback  carbodysedan  carbodywagon carbodyconvertible
fueltype                0.018635178     -0.202092939  0.1856232006  0.0281832272        -0.05709239
aspiration              0.029074201     -0.009785654 -0.0171109735 -0.0189076799         0.08148831
doornumber             -0.227792566     -0.606687674  0.5150456806  0.3296902367        -0.19628032
enginelocation         -0.394977981      0.087754032  0.1143687331  0.0454170262        -0.21983819
wheelbase              -0.008607579     -0.386093732  0.2910855084  0.2108993128        -0.17507100
carlength               0.047291821     -0.436268753  0.2696466147  0.2196833958        -0.05172208
carwidth                0.066360007     -0.222307828  0.1546366646  0.0606386764        -0.02632807
carheight              -0.072327757     -0.477475933  0.2358633814  0.4591476003        -0.16323866
curbweight              0.101465961     -0.285681367  0.0859986944  0.1801320670         0.08284261
enginesize              0.240627737     -0.214278213  0.0623763102 -0.0006072504         0.14289412
boreratio               0.208089273     -0.227031791  0.0305165453  0.1057193444         0.10405606
stroke                  0.043214511      0.052316363  0.0356303626 -0.0950837294        -0.11771760
compressionratio        0.077823997     -0.159740031  0.1221381249  0.0119025839        -0.02469818
horsepower              0.165356480     -0.062217001 -0.0157181536 -0.0459325469         0.12076168
peakrpm                -0.046179694      0.150921446 -0.0761904482 -0.0822264966         0.01365282
citympg                -0.113226461      0.109918814  0.0246983640 -0.0633610257        -0.12925938
highwaympg             -0.104289989      0.143344436  0.0161939331 -0.1068597805        -0.12393948
price                   0.225854012     -0.262039221  0.1257164823 -0.0423097122         0.18768121
carbodyhardtop          1.000000000     -0.145108889 -0.1891186016 -0.0751009848        -0.03499137
carbodyhatchback       -0.145108889      1.000000000 -0.6757787066 -0.2683588286        -0.12503489
carbodysedan           -0.189118602     -0.675778707  1.0000000000 -0.3497487084        -0.16295641
carbodywagon           -0.075100985     -0.268358829 -0.3497487084  1.0000000000        -0.06471170
carbodyconvertible     -0.034991372     -0.125034892 -0.1629564123 -0.0647117044         1.00000000
symboling2             -0.069871115     -0.183200078  0.0851999580  0.2079218490        -0.06020532
symboling3             -0.086710750     -0.326292424  0.2422692151  0.2170425255        -0.12098929
symboling4             -0.063323133      0.199929032 -0.0507736779 -0.1213376917        -0.10383828
symboling5              0.190942655      0.058759080 -0.0265402166 -0.1602823456         0.00505642
symboling6              0.070490686      0.327932520 -0.3655057794 -0.1451461874         0.36026058
symboling1             -0.024558216     -0.087754032  0.1298561657 -0.0454170262        -0.02116089
drivewheelfwd          -0.188307995      0.167552114  0.0159711060 -0.0797053397        -0.14757235
drivewheelrwd           0.210390319     -0.148046215  0.0082933266 -0.0082804661         0.16630620
drivewheel4wd          -0.043182233     -0.053883710 -0.0579563720  0.2111841979        -0.03720851
enginetypedohcv        -0.014109018      0.097230559 -0.0657063411 -0.0260926788        -0.01215721
enginetypel            -0.050248586     -0.135733967  0.0574868209  0.1610748773        -0.04329732
enginetypeohc          -0.043606450      0.056559712  0.0805709953 -0.1014391205        -0.15061126
enginetypeohcf          0.136835083     -0.083820630 -0.0759935620  0.1242599928         0.06234093
enginetypeohcv          0.050923820     -0.018531233 -0.0035220973 -0.0358057437         0.07356636
enginetyperotor        -0.028427839      0.195906945 -0.1323897416 -0.0525733582        -0.02449520
enginetypedohc         -0.050248586     -0.004275086 -0.0257979726 -0.0294271410         0.20325688
cylindernumberfive      0.063798512     -0.125815844  0.0802034660  0.0435642563        -0.04134705
cylindernumberfour     -0.133132121      0.066757429 -0.0341778583  0.0575215003        -0.04534456
cylindernumbersix       0.083316972     -0.070234695  0.0535443225 -0.0429736691         0.02678445
cylindernumberthree    -0.014109018      0.097230559 -0.0657063411 -0.0260926788        -0.01215721
cylindernumbertwelve   -0.014109018     -0.050415845  0.0746040748 -0.0260926788        -0.01215721
cylindernumbertwo      -0.028427839      0.195906945 -0.1323897416 -0.0525733582        -0.02449520
cylindernumbereight     0.131433429     -0.047168504 -0.0216395973 -0.0589255651         0.16015330
fuelsystem2bbl         -0.084946414      0.120288124 -0.0608300294  0.0303493215        -0.11965026
fuelsystem4bbl         -0.024558216      0.169239918 -0.1143687331 -0.0454170262        -0.02116089
fuelsystemidi           0.018635178     -0.202092939  0.1856232006  0.0281832272        -0.05709239
fuelsystemmpfi          0.115814145     -0.194718368  0.0688534151  0.0123952281         0.18684592
fuelsystemspdi         -0.043182233      0.197165392 -0.1056714574 -0.0798595706        -0.03720851
fuelsystemspfi         -0.014109018      0.097230559 -0.0657063411 -0.0260926788        -0.01215721
fuelsystem1bbl         -0.047985205      0.148084135 -0.0933238220 -0.0225888736        -0.04134705
CarNameaudi            -0.037890323     -0.078749416  0.0926924208  0.0120124995        -0.03264867
CarNamebmw             -0.040609137     -0.145108889  0.2147284123 -0.0751009848        -0.03499137
CarNamebuick            0.219543147     -0.145108889  0.0128049053  0.0018775246         0.11445094
CarNamechevrolet       -0.024558216      0.083575268 -0.0329604335 -0.0454170262        -0.02116089
CarNamedodge           -0.043182233      0.096745751 -0.0579563720 -0.0070986285        -0.03720851
CarNamehonda           -0.052436409      0.108098859 -0.0436348721 -0.0358057437        -0.04518249
CarNameisuzu           -0.028427839     -0.027209298  0.0796407039 -0.0525733582        -0.02449520
CarNamejaguar          -0.024558216     -0.087754032  0.1298561657 -0.0454170262        -0.02116089
